Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
370.1,1355.4741684116536,1123.1767551637236,1044.7393798288565,956.1838976204211,918.2107340621241,864.0234730341323,836.0901517459615,800.4659912529349,779.152139173421,760.7992114300932,
380.1,1326.830031482327,1102.8072060939735,1018.8184451355814,937.1626972544883,893.8007775648371,842.5707384168736,815.0839815096941,778.8209741870601,758.765446630137,739.0518547901954,
390.1,1302.3878098377284,1075.0445766547139,997.8212639436213,912.4707847605079,870.2386717301997,821.4668214047862,793.0460050897705,756.8294441887585,736.7486240434141,718.1988071018133,
400.1,1277.6433278645927,1051.6170458438169,973.6776104842862,890.6663238199213,850.7933945396312,799.9351302202081,772.2344500557778,736.9273344248323,717.578053616656,698.2992102409839,
410.1,1257.7037986879297,1032.2662503205083,954.0050388277514,866.2010419221834,830.0177642523901,778.7047842852229,753.1389374571357,716.9256050626378,696.9835972288563,679.182866190606,
420.1,1233.0264238814234,1010.6019430185114,931.5003478235463,849.7954050609428,809.2126483138703,760.2020841029025,734.3414833641722,698.5476807078369,677.8587025024865,660.6602821992566,
430.1,1210.0366885240323,990.0361861286866,910.4624030719965,829.7496525427784,790.141722793491,741.9368412657923,716.4945774139148,679.9947857755051,661.3666152761956,643.2085719188461,
440.1,1190.2429499715568,970.7175014503105,889.9928390589914,812.2594034359158,773.048852999363,722.5646917063245,696.54058950466,662.4875523082917,642.5769859076423,625.7160961560439,
450.1,1170.8320162212597,952.5044562176847,874.5206079043691,792.5565885972456,752.301819183915,705.7594376867182,680.0112350589736,646.1481310964956,626.5659339719876,608.7877164731395,
460.1,1151.2491345792696,933.5846992250205,853.6452809009278,774.3000534584831,735.9947633462016,688.1904380344263,662.2510136085965,628.8816673891554,610.2193975061865,593.2739972137862,
470.1,1134.6782847065335,914.0414043267739,834.5713268284289,757.1742791580455,717.5560078921188,670.739245822309,646.894229076769,612.2461401881627,594.109145975572,576.7164300365587,
480.1,1111.3265888980395,895.3738250955233,816.6413889408345,740.2084069899487,700.7909422086766,655.8918826384242,629.7770740968946,597.8720590665747,579.2461240544835,561.7363245369379,
490.1,1092.8598729806452,876.9071668429062,801.7648672380099,723.8814586969587,684.6827143209875,638.747750438704,613.7742501755049,582.4987265340714,564.4718187710043,547.7340462154344,
500.1,1071.4183371064978,857.2580268352344,783.0439543338243,706.6054397631266,669.3310383513654,624.7998665017076,599.9052288353462,567.1019036292822,549.2604628476781,532.7742811779968,
510.1,1056.3190228665537,838.8316899169539,765.8633373478486,690.9406231766684,654.5654527867446,609.2550919430194,585.0687024029005,552.5170736066776,535.5299047479144,518.8613630581499,
520.1,1039.534570906344,825.0077006559449,752.7072631615488,674.0521493292473,639.1164857355756,595.2399850292265,571.6647786676207,538.8364082890615,520.9985072809221,504.7905001635649,
530.1,1021.2089389446545,811.2032929163576,735.2676023044379,660.6485309314863,623.969569654113,579.6485347033752,556.399517003915,525.1219885074369,508.3966177532335,492.9001209291181,
540.1,1002.4856136390335,793.6910820135192,718.7487619773437,647.0480113185838,609.0269051477948,565.7883495989953,541.2564993478933,513.8345392741052,495.72438483753757,479.61692900776495,
550.1,988.6666118622936,779.1926426169625,705.4334442231343,631.6976391743332,596.1758370079959,553.0374159865254,529.6121089212927,500.5277548868581,483.9572001042974,467.0015975174188,
560.1,970.6948568305316,764.8222890083664,690.7483717642789,617.5787960336064,582.0971125996238,539.1350506976705,518.6784219581815,487.816813696672,471.38114112280294,455.2840213186194,
570.1,958.6143169043105,750.6792104965451,677.6326190801972,604.0491272693936,567.8199403351671,527.3091211591217,504.1057233268419,476.13470062546907,459.634417681999,444.9956127393061,
580.1,936.4728203560599,733.909116895877,662.8104801414078,592.7198309507587,557.783439565552,515.4993913546966,492.00707607564823,463.90126085004187,448.45692035290324,433.57263150811525,
590.1,918.7122858528687,718.7603663330207,650.7229684255062,579.6644896569495,544.2579482760906,502.1574131948785,480.61371118528956,453.33588602535076,435.9100353245936,422.0348713020406,
600.1,906.0228825761444,704.1178761118001,634.7256443089509,565.4859599108318,533.0086882317912,491.654655819195,470.59662905650333,440.80077576325925,426.30254529673783,411.7773009350881,
610.1,899.2677621714577,694.3379359119044,623.4542756459697,555.7314277728393,520.2836379658631,480.77514950397796,458.29976565849853,431.6053273343906,416.44167914054367,402.05786107068167,
620.1,878.3221348328309,679.3940255006938,610.7249108198613,542.5879075185198,507.4855766827794,468.00899799467135,448.0007496855096,421.6363994748379,405.4820855607506,391.93250141938773,
630.1,866.7099912645338,665.196639183138,598.7702976730809,530.7392292237093,497.0946069339324,459.4755587192171,436.9586553720155,411.36815255667716,396.01984603927957,381.4963877367926,
640.1,849.3878214241138,653.1375539049511,586.1756856897342,520.0291764728648,486.5554890904092,448.0721380798925,426.6798953487787,400.48183237285036,385.76173732314913,373.0138483140602,
650.1,834.0773012296345,639.6982693672536,574.9503182580856,508.64487141000325,475.5133833847616,437.18229270814345,417.12407247743573,392.3976461947328,376.1269190127649,364.71006757772363,
660.1,823.4301406538262,628.6559781883627,565.439591370241,498.0190930350343,465.6655165445004,427.17409488969406,407.16666048361316,382.7605481687568,367.7479274149433,354.1110156970985,
670.1,809.4233772251469,618.136256648794,550.7635790784325,486.3143297886932,455.9634888071143,419.2629892072538,398.617456388955,373.3250743139281,359.18594471006656,345.5611729241206,
680.1,798.3433625116442,605.2933033652625,539.5019859366926,477.5120802303533,445.0439189236722,409.5049048556401,388.7813586849955,363.8952282349938,349.3184392059744,337.55798519980425,
690.1,786.231349685128,593.8133515845167,529.8766601027454,466.9909698443073,436.0208616947692,400.097305958754,379.8321124700968,354.6947128311029,342.9944849645261,329.76564036769247,
700.1,768.0398286929423,585.6412707351393,520.2564189826315,457.2155268076057,426.8709196280557,391.4152500106047,371.75787442836184,348.0279054921039,334.3634151603418,321.1586486064453,
710.1,757.0953971020417,571.6226266194317,509.77523871672975,447.0772716689425,416.3062921850058,382.38440798297046,363.36598864628235,339.2222550628424,325.3177861659265,313.62958965805814,
720.1,745.8910891482154,563.4593321895885,502.53996374922906,438.66026268024115,407.89118896334907,373.7736163021995,353.9555238735985,332.5590754283059,318.50320627605436,306.3884196972476,
730.1,731.4367404039482,551.2684337207252,489.91856332354786,429.6514390635247,399.82651981499595,365.15902421591545,347.96302136330604,324.0132582067568,311.94211477393685,299.15540912298525,
740.1,722.3991254660154,541.6712014397943,478.13447083380987,417.6079151381575,390.3351924461298,357.0127170870954,338.8660111582393,315.4049250887321,302.68898705474345,291.3093342795548,
750.1,710.4062597891943,529.5359700712418,469.83386591378945,410.69157504099,382.79743375394986,349.7295273515643,331.2061106119607,308.37781370462085,295.57082646109046,285.3691605806074,
760.1,698.1158582721025,518.8579845029788,461.26957651785403,402.4303048642439,374.83823085336996,341.6109827628766,325.16349176715727,301.5844972516915,289.60580248404057,277.7637282884815,
770.1,694.2422438843354,510.80384198795605,452.3841402820808,395.37347737893475,367.0765252713603,334.3270059821077,315.5347972617876,295.46845687099557,282.9928571756689,271.63288943499913,
780.1,679.2017983134958,501.2704215353213,443.06509868499137,385.35379964239655,358.2816562917209,327.2382470898703,309.67989608872284,288.26563686038685,275.4065028201415,264.55368092150627,
790.1,666.7785672736027,492.13231854851693,434.261846012314,377.81018790320036,350.51015879922767,320.36606619024406,302.6038769435419,281.55562264825267,269.3399054415625,259.38868960821276,
800.1,658.8150024817413,482.13323632939273,424.734913085061,371.40179554279314,344.148361649222,312.9938796693546,295.22783114453,274.20689570881984,263.8359394205912,252.745898367962,
810.1,640.771407450553,470.9612588465921,417.74885753168627,361.8245315879949,337.0609053036229,306.2133709305693,288.95837656196363,269.5961669015998,257.44424248491373,247.71697057221022,
820.1,631.3808196627933,464.1137576106809,409.38477241659075,355.19844750932776,328.7158346690284,298.368822790099,281.7596722262455,262.91737681038717,251.06520276967376,241.33383550050578,
830.1,623.3817280101474,455.2415159748138,401.92011636602314,348.2311069224473,322.2771755353256,291.68544638824886,276.038942689376,256.73378169916265,245.6940709762744,236.09880785153265,
840.1,610.8927009269635,447.0666556170994,394.24914975735317,341.77270058457333,316.9528063925733,285.0374462501294,270.68338892828154,251.23798790788572,240.0391248706755,230.6002850618565,
850.1,608.4326098832587,439.0522991001491,386.8579319040483,332.64885445412267,307.92784717325753,279.0464255991276,264.7893915844344,244.95238504257898,234.20662549159735,225.55317942574263,
860.1,596.5877059128151,432.2716482706319,377.12152167735167,326.9331508610019,302.1379319928172,273.56555529863107,258.18127812701937,239.79468134365985,229.255967037494,219.33039083366126,
870.1,604.1310154607878,428.2405903354094,373.1510380598655,323.6704143633294,298.17039999193344,269.03620659072243,253.76401524974915,235.43846219173938,224.06014139588657,213.19121314570904,
880.1,602.0851602564911,427.18820776367073,372.0905739334286,320.2114464672119,296.11203149386847,266.1146774718774,251.77058594239935,232.1473363992889,221.96235490063873,209.9412399130246,
