Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
220.1,1196.284026636024,1192.9311897039854,1193.7527953149183,1194.4935899615793,1194.276791245498,1195.6391206296591,1194.2732144386032,1195.1688166194053,1194.410607615255,1195.844287114876,
230.1,1156.4547544550082,1153.6099399488587,1158.5235673548873,1156.0236651697326,1155.1323346340719,1154.142790405976,1155.9849660009475,1157.0971566342123,1155.8377974563607,1155.7132912259315,
240.1,1117.3461599450889,1116.9474039814727,1116.5453070926326,1118.9302181963217,1117.0484635952962,1117.9566388131018,1118.8283076205817,1117.1967070164162,1119.068158821569,1117.9446064845215,
250.1,1082.9387299892385,1081.4453034092423,1083.027487681253,1081.4699788801265,1079.6649390743069,1083.6336295823214,1081.8921894505436,1081.506732493582,1082.717402657732,1083.199584740288,
260.1,1051.3158308449156,1045.7121804691537,1048.6311256621236,1046.9540905275892,1046.9988273992333,1048.4716218709295,1046.7611429752048,1047.2891478526708,1046.8866811440575,1047.5469853785426,
270.1,1012.0889289914318,1013.8103142022607,1012.205659716654,1015.5988867567786,1017.8121818644619,1015.2571928417112,1015.6138860915655,1015.0817437134261,1013.9384237178107,1014.0294349342141,
280.1,983.4273431598804,981.4821180001369,983.5319243034852,981.5968956020201,983.8677014020113,984.6604368249953,983.8160978475566,982.0407554538205,983.540906051993,984.3816421671903,
290.1,951.0119401827924,953.8891937006565,954.1912495639023,953.261588122553,952.8662616738493,952.4898410304908,953.171138841147,954.6955272307214,953.2466746978313,952.5602644320757,
300.1,921.7561907930681,926.4679269797708,924.5047789669544,925.7322855891703,924.9721109872912,924.2149991112876,924.6722221551547,924.750439000809,922.7903109908007,922.9048171855432,
310.1,895.6064785040776,897.2428975957947,895.7860731440327,897.5532917143022,894.8160497163743,895.6175325660264,897.1751821406363,896.2135872610128,896.5449284430214,897.3804370433663,
320.1,871.2915101094211,867.6451881144651,869.7979365911067,869.4673128993137,869.6305580006563,871.3235518239047,871.0803267079795,870.0572406118838,869.7761041714085,870.6009739539061,
330.1,846.3380566899674,845.3025449211998,844.3466324007036,845.2947892558436,842.9868545625103,845.7583873379493,844.9496029973324,844.4085411989691,845.6738154335009,843.3194981178339,
340.1,821.8712567981216,817.9489053771199,821.4183105922958,821.5483134848844,820.0040888160529,822.405792449546,819.5752399218014,820.639438685059,820.2854956778366,818.8337494031925,
350.1,793.304130713782,795.9478535294055,797.3549152014901,794.1079072773078,796.7390405896431,796.298884375076,796.581498822256,796.854104122575,795.9138842467339,795.4597235905195,
360.1,769.9948442796027,774.189856276966,773.3846952494187,774.0384521517103,773.2827800157393,772.8457627742207,773.66911801456,773.9216772506487,773.4814392863083,774.8329418901428,
370.1,754.3558161029357,754.1522993732024,752.0567082829026,750.9348364412587,752.6662108657144,750.5165067934166,750.9677485874629,750.9857262145983,751.2086625137105,750.4572191125268,
380.1,733.3475535905575,731.111414292142,727.5232788502508,731.1351408086081,728.8408560063322,730.6386132425637,730.1548603295021,729.5779896917498,728.7511373096917,731.1820870662101,
