Chi(proportion),Avg UE Throughput(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy
0.24000000000000013,926.8545298502137,2.1132283280584903E-5,0.5938874784800219,213.1999637795509,0.4071125215199781,6.44065443572464
0.24500000000000013,925.7939528293493,2.1108102124509165E-5,0.5960133459257327,212.1966170206309,0.40498665407426815,6.443605055911032
0.2500000000000001,927.631402005037,2.1149995965714835E-5,0.5969891657403052,212.2655407092116,0.40401083425969425,6.443402974087259
0.2550000000000001,927.9368153270956,2.115695938945783E-5,0.5938554183427148,213.0800163232367,0.4071445816572851,6.44106956078028
0.2600000000000001,924.169247218583,2.107105883658373E-5,0.5960100946296657,211.36713459188496,0.40498990537033475,6.442993599371229
0.2650000000000001,927.600794407795,2.1149298112497755E-5,0.5940823994547404,211.1099302387147,0.4069176005452594,6.441463644883918
0.27000000000000013,928.013845334969,2.1158715673637336E-5,0.5935093353603959,212.36182211108576,0.40749066463960404,6.440112806513984
0.27500000000000013,925.5779736843432,2.1103177800003003E-5,0.5943412314449034,212.06148394256732,0.40665876855509664,6.441460757878939
0.28000000000000014,910.323326624732,2.421460048821788E-5,0.584914214250269,173.92048296810688,0.4160857857497312,6.641631210599864
0.28500000000000014,908.1158640130467,2.4155881982747092E-5,0.5830311206585814,174.05021586241222,0.41796887934141813,6.639022427312784
0.29000000000000015,910.8215786405294,2.4227853991838102E-5,0.5863670208755827,176.6937435843931,0.4146329791244171,6.642755063085067
0.29500000000000015,911.8073919604257,2.425407662614736E-5,0.584522739628148,177.19646641449071,0.41647726037185157,6.641912973238576
0.30000000000000016,905.073181832603,2.4074946636747197E-5,0.586700202633836,172.14038333192264,0.41429979736616385,6.643366551799323
0.30500000000000016,913.6753759689357,2.4303765000773663E-5,0.5814284497698714,172.3396306351898,0.4195715502301291,6.637216089910765
0.31000000000000016,915.9439146138997,2.4364108128729755E-5,0.5856511175092248,174.34080192268596,0.41534888249077373,6.642323298812318
0.31500000000000017,912.9357719550846,2.428409153400522E-5,0.5850795228098686,178.96433303209403,0.4159204771901316,6.642513769587265
0.3200000000000002,891.2015772399823,2.709252794809544E-5,0.568358047604255,110.32642229460541,0.4326419523957448,6.794377714128914
0.3250000000000002,890.6670055978474,2.707627697017458E-5,0.5663402658747083,108.13614527435462,0.43465973412529124,6.790586497500224
0.3300000000000002,892.510478122945,2.713231853493755E-5,0.5723982409648353,113.28618009880564,0.4286017590351654,6.7997543087555705
0.3350000000000002,886.7196975782657,2.695627880637927E-5,0.5711034233472565,113.36719714013773,0.4298965766527432,6.798515200895838
0.3400000000000002,888.4575726320708,2.7009110208014967E-5,0.566432746828987,111.12634305451111,0.4345672531710132,6.792565071397741
0.3450000000000002,889.0714992170061,2.7027773576197027E-5,0.5704607575860813,113.69066117465911,0.4305392424139192,6.797748794934721
0.3500000000000002,882.3465639023362,2.682333554263097E-5,0.5666921147904672,103.00304843669323,0.43430788520953256,6.790230125597063
0.3550000000000002,886.88403124595,2.696127454987688E-5,0.5685811399424349,103.66208832060612,0.43241886005756525,6.7936947792581694
0.3600000000000002,857.0034683419112,2.9309518617293387E-5,0.546801813112507,40.51774582838921,0.45419818688749297,6.909354011837251
