Chi(%),Avg UE Throughput(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy
0.2100000000000001,1023.7370453117446,1.9451003860923145E-5,0.6590283442610735,247.13030570842756,0.4409716557389264,NaN
0.2150000000000001,1058.4964229767993,2.0111432036559188E-5,0.65412019292715,237.30788836551193,0.4458798070728499,NaN
0.2200000000000001,997.2975056902008,1.8948652608113812E-5,0.6657008489810565,251.18206805213632,0.43429915101894345,NaN
0.22500000000000012,1003.7835131694862,1.9071886750220237E-5,0.706652903917191,253.49105514218655,0.393347096082809,6.853245169335378
0.23000000000000012,1060.1492053322543,2.014283490131283E-5,0.6569819287837082,258.0785222991285,0.4430180712162918,6.794394912847966
0.23500000000000013,1028.2274523608319,1.953632159485581E-5,0.6769131907445383,243.51237904356836,0.42308680925546155,6.820986448652397
0.24000000000000013,1003.8654527301308,2.288813232224698E-5,0.6504623536747323,243.07747171901832,0.44953764632526755,NaN
0.24500000000000013,993.4104645111354,2.2649758590853893E-5,0.6628366245558744,224.09532532780878,0.43716337544412553,NaN
0.2500000000000001,998.3714135228463,2.27628682283209E-5,0.6263198676522966,213.98742823138323,0.47368013234770334,NaN
0.2550000000000001,1010.3456113695904,2.3035879939226656E-5,0.6543680993398442,237.7742549902558,0.4456319006601558,NaN
0.2600000000000001,1001.0980843537845,2.2825036323266287E-5,0.671044061928062,238.1138469392735,0.428955938071938,NaN
0.2650000000000001,1000.3059468749656,2.2806975588749215E-5,0.6738536470982351,217.07939242532566,0.42614635290176495,NaN
0.27000000000000013,1036.556802080253,2.3633495087429768E-5,0.6634248595679224,226.73024272369662,0.4365751404320776,NaN
0.27500000000000013,1027.5290823449732,2.3427663077465386E-5,0.6373822487694898,200.29027008360066,0.4626177512305101,NaN
0.28000000000000014,1021.2424781772164,2.7165049919513962E-5,0.6116176304413558,181.0980391572486,0.48838236955864434,NaN
0.28500000000000014,983.00892929706,2.61480375193018E-5,0.6255205883665477,148.06485865569883,0.4744794116334524,NaN
0.29000000000000015,1015.5811143180212,2.7014457640859364E-5,0.6134133317738009,225.1608045132513,0.48658666822619895,NaN
0.29500000000000015,1016.3927219920995,2.7036046404989853E-5,0.6852170749611259,227.36695806619113,0.41478292503887404,NaN
0.30000000000000016,1014.9302999957172,2.6997145979886076E-5,0.6268244915330518,202.2616246168747,0.47317550846694834,NaN
0.30500000000000016,974.3683123452856,2.59181971083846E-5,0.6565872404311646,173.7789266315053,0.4434127595688354,NaN
0.31000000000000016,1001.5164182045015,2.6640336724239738E-5,0.6441647116226911,163.17542676746018,0.4558352883773088,NaN
0.31500000000000017,1000.7066382246124,2.661879657677469E-5,0.6463007577307969,192.39933914019488,0.45369924226920294,NaN
0.3200000000000002,1014.4442608542911,3.083910552997045E-5,0.670191806369806,161.775928190039,0.4298081936301939,NaN
0.3250000000000002,989.4662832655089,3.007977501127147E-5,0.6651883665854966,159.84153932540653,0.43481163341450335,NaN
0.3300000000000002,937.4276613989853,2.8497800906529145E-5,0.6257177991163997,78.44142850523349,0.4742822008836004,NaN
0.3350000000000002,987.9404012257697,3.003338819726341E-5,0.6335183817403767,151.6273210426803,0.46648161825962325,NaN
0.3400000000000002,941.6842732288917,2.8627201906158312E-5,0.6270351997841465,107.5317297571484,0.47296480021585346,NaN
0.3450000000000002,967.9453836549825,2.9425539663111467E-5,0.6399384078087339,86.64246079175055,0.460061592191266,NaN
0.3500000000000002,939.4939764959593,2.8560616885477156E-5,0.6353730300765673,116.48483853726509,0.46462696992343266,NaN
0.3550000000000002,937.0867820416154,2.848743817406511E-5,0.6279430677060128,58.59405207584425,0.47205693229398715,NaN
0.3600000000000002,937.6894737807727,3.2068980003302425E-5,0.6036954522407185,7.351360373729892,0.4963045477592815,NaN
0.3650000000000002,921.682475037358,3.152154064627765E-5,0.6080971236591892,25.060339086993054,0.4919028763408108,NaN
0.3700000000000002,918.851474887479,3.142472044115178E-5,0.622333925766003,15.269889392316212,0.4776660742339969,NaN
0.3750000000000002,970.4116033451498,3.318807683440413E-5,0.6065710284563,40.642622962131284,0.49342897154370036,NaN
0.3800000000000002,1021.7575967378322,3.494410980843387E-5,0.6152678602504692,126.50586533025975,0.4847321397495306,NaN
0.38500000000000023,965.1491066284929,3.300809944669444E-5,0.6056075203117024,70.7757319454644,0.49439247968829747,NaN
0.39000000000000024,916.6443288234901,3.134923604576337E-5,0.6009293402837818,60.965281711600916,0.4990706597162182,NaN
0.39500000000000024,945.7400797706134,3.2344310728154985E-5,0.570951684036092,40.000725424885246,0.5290483159639081,NaN
0.40000000000000024,895.5728670931112,3.403176894953822E-5,0.5791755525705196,0.0,0.5208244474294803,NaN
0.40500000000000025,907.1809224390308,3.447287505268317E-5,0.5530477385247063,0.0,0.5469522614752936,NaN
0.41000000000000025,950.1005123811987,3.610381947048554E-5,0.5709106952484101,14.894736690901421,0.5290893047515899,NaN
0.41500000000000026,862.3696452433603,3.2770046519247696E-5,0.5409451075081635,0.0,0.5590548924918363,NaN
0.42000000000000026,930.2378486294753,3.534903824792006E-5,0.5866436169237808,13.446279887765638,0.5133563830762193,NaN
0.42500000000000027,902.9962839520609,3.4313858790178316E-5,0.5861286842666443,11.74747099389867,0.5138713157333558,NaN
0.43000000000000027,882.1994707348343,3.35235798879237E-5,0.5838714695167208,0.0,0.5161285304832794,NaN
0.4350000000000003,918.5184182605201,3.490369989389977E-5,0.568772950171354,0.0,0.5312270498286459,NaN
0.4400000000000003,834.491602434818,3.488174898177539E-5,0.5595334892028725,0.0,0.5404665107971274,NaN
0.4450000000000003,843.7480581759448,3.5268668831754495E-5,0.5384285967076454,0.0,0.5615714032923546,NaN
0.4500000000000003,857.1519294352265,3.582895065039246E-5,0.5459816041373509,0.0,0.5540183958626491,NaN
0.4550000000000003,856.6194812556976,3.580669431648816E-5,0.5388441681031366,0.0,0.5611558318968634,NaN
0.4600000000000003,872.6152824081648,3.6475318804661285E-5,0.5489385848523253,0.0,0.5510614151476747,NaN
0.4650000000000003,842.6291915971858,3.522190020876237E-5,0.5550775468538344,0.0,0.5449224531461657,NaN
0.4700000000000003,859.8247037492622,3.594067261671916E-5,0.5300897423623366,0.0,0.5699102576376633,NaN
0.4750000000000003,899.2045443200819,3.7586749952579423E-5,0.5388211295632394,0.0,0.5611788704367608,NaN
0.4800000000000003,833.0868254006712,3.7988759238270604E-5,0.5206784321292812,0.0,0.5793215678707189,NaN
0.4850000000000003,836.0623135531962,3.812444149802575E-5,0.5116731206530112,0.0,0.5883268793469888,NaN
0.4900000000000003,825.7977111486731,3.765637562837949E-5,0.5215088035384455,0.0,0.5784911964615544,NaN
0.49500000000000033,798.3114273723423,3.6403001088178806E-5,0.5181983813839369,0.0,0.581801618616063,NaN
0.5000000000000003,812.2594430749712,3.7039030604218686E-5,0.5220801422139554,0.0,0.5779198577860445,NaN
0.5050000000000003,765.9169720760517,3.492581392666796E-5,0.49231910025843195,0.0,0.6076808997415682,NaN
0.5100000000000003,800.6456869356937,3.6509443324267635E-5,0.4955020214679232,0.0,0.6044979785320768,NaN
0.5150000000000003,782.1815062657555,3.5667476685718454E-5,0.5520750783348451,0.0,0.5479249216651548,NaN
0.5200000000000004,777.0812307249922,3.838781279781461E-5,0.49762927863298617,0.0,0.602370721367014,NaN
0.5250000000000004,776.8992284768318,3.837882188675549E-5,0.4975944651730333,0.0,0.6024055348269668,NaN
0.5300000000000004,798.201110363071,3.943113485193571E-5,0.5302038019969928,0.0,0.5697961980030073,NaN
0.5350000000000004,751.2083593347304,3.710969295113569E-5,0.48734096289934126,0.0,0.6126590371006586,NaN
0.5400000000000004,770.2988852807382,3.8052764932868465E-5,0.4698226024986848,0.0,0.6301773975013152,NaN
0.5450000000000004,776.2789249654361,3.834817889329255E-5,0.5031976853212627,0.0,0.5968023146787372,NaN
0.5500000000000004,722.5330950420168,3.569313489507564E-5,0.4823107169262667,0.0,0.6176892830737333,NaN
0.5550000000000004,780.3657266874932,3.855006689836216E-5,0.49410561402342257,0.0,0.6058943859765774,NaN
0.5600000000000004,758.9555197818013,4.037643365239182E-5,0.4740871395304541,0.0,0.6259128604695461,NaN
0.5650000000000004,724.6517115268524,3.855147105322855E-5,0.4549719611279162,0.0,0.6450280388720836,NaN
0.5700000000000004,727.0806028948721,3.86806880740072E-5,0.4694446478249926,0.0,0.6305553521750074,NaN
0.5750000000000004,743.2046287419932,3.953848624907404E-5,0.4900829804232144,0.0,0.6099170195767857,NaN
