Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
280.1,1478.815513820352,1247.0936491041812,1164.9780013148384,1080.2384268042713,1032.0360224393496,981.0113267604116,951.891813133031,912.3811213783033,891.5381544406835,870.6983262904579,
290.1,1444.9434712645636,1214.7482532759536,1134.2611778086764,1048.0365708965749,1003.9554944578302,951.1534980376266,921.2602249712793,883.7122864320005,861.4846576902071,841.4003389606332,
300.1,1411.396121766376,1185.2976792791715,1101.1167659277407,1016.666330238346,973.1784171394262,921.1333652079176,891.4125994209033,853.5736492806399,832.6886449599508,813.7515714310072,
310.1,1383.7000260696855,1154.3409624894814,1072.029811216497,989.1245335730507,945.1957441153401,891.0989771432606,864.0959681084857,827.0790444817624,805.4183649003633,785.5446437954386,
320.1,1356.4887829367158,1128.6319279875854,1046.1656913252662,959.8312049347355,916.7292395265863,865.7673876479405,837.0262895335082,800.5227177079827,779.7815190618561,761.5667274456787,
330.1,1323.9477388502344,1100.5053817113073,1018.8304009753871,932.7577613575554,889.7532312035645,841.82268815172,811.1651599146599,773.3003539149377,755.5155078322458,736.2353185471902,
340.1,1298.5517107483936,1072.4967898611026,991.8995513686273,906.7962806046046,864.5495380657421,814.5888924600305,786.7957333869002,749.310625820025,728.9727384335275,710.9488561158953,
350.1,1268.3385672480138,1047.2544771495802,965.7479420580148,883.4151299815951,839.3059346061299,790.1945196654365,763.7482122839367,728.3172244177126,707.7209687479971,689.2318623510056,
360.1,1245.6391346210658,1024.0421477972147,942.7567921630063,856.8765130335403,816.8659833581979,767.4975403210913,740.4593551951643,703.9865019769711,685.0475088786433,666.7513242957975,
370.1,1219.9670337632706,997.5558533061069,915.8219279964987,833.5244779285218,794.258762644589,745.6803782405381,718.3577585653447,683.2616958174057,664.8347853325492,645.3720663527105,
380.1,1193.1668997728848,971.1210344142622,894.9772261584536,812.4894518208836,772.8763763659969,724.2510300669119,696.5475084677965,663.9227044835046,643.4531708501137,626.0675764155521,
390.1,1175.9525902213952,951.2362165559905,873.6088443830952,792.6732775785292,751.325847148062,702.9264580503676,676.8612404431809,641.9788076197897,623.9367477860244,606.0898628846516,
